iter	Passed	Remaining
979	36143	19178
980	36174	19137
981	36200	19095
982	36226	19052
983	36252	19010
984	36280	18969
985	36306	18926
986	36332	18884
987	36356	18840
988	36379	18796
989	36405	18754
990	36431	18711
991	36456	18669
992	36482	18626
993	36507	18584
994	36531	18541
995	36557	18499
996	36585	18457
997	36610	18415
998	36637	18373
999	36669	18334
1000	36710	18300
1001	36754	18267
1002	36793	18231
1003	36841	18200
1004	36879	18164
1005	36922	18131
1006	36970	18099
1007	37017	18068
1008	37060	18034
1009	37110	18004
1010	37158	17972
1011	37207	17941
1012	37259	17912
1013	37307	17881
1014	37350	17847
1015	37399	17816
1016	37458	17790
1017	37507	17759
1018	37554	17726
1019	37595	17692
1020	37637	17657
1021	37681	17623
1022	37718	17587
1023	37756	17550
1024	37786	17510
1025	37822	17473
1026	37859	17436
1027	37891	17397
1028	37923	17358
1029	37951	17317
1030	37977	17276
1031	38010	17237
1032	38036	17195
1033	38066	17155
1034	38096	17115
1035	38133	17079
1036	38168	17041
1037	38200	17002
1038	38237	16965
1039	38279	16931
1040	38328	16900
1041	38369	16864
1042	38407	16828
1043	38436	16788
1044	38466	16748
1045	38495	16708
1046	38524	16668
1047	38551	16627
1048	38581	16587
1049	38610	16547
1050	38647	16510
1051	38689	16476
1052	38729	16440
1053	38763	16402
1054	38796	16364
1055	38828	16325
1056	38860	16286
1057	38888	16246
1058	38917	16206
1059	38942	16164
1060	38969	16124
1061	39000	16084
1062	39029	16045
1063	39064	16007
1064	39103	15971
1065	39139	15934
1066	39180	15899
1067	39213	15861
1068	39247	15823
1069	39289	15789
1070	39326	15752
1071	39366	15717
1072	39402	15680
1073	39439	15643
1074	39475	15606
1075	39511	15569
1076	39545	15531
1077	39577	15493
1078	39606	15453
1079	39660	15423
1080	39706	15390
1081	39737	15351
1082	39765	15311
1083	39793	15271
1084	39822	15231
1085	39848	15190
1086	39876	15150
1087	39901	15109
1088	39927	15069
1089	39955	15028
1090	39980	14988
1091	40005	14947
1092	40032	14906
1093	40059	14866
1094	40086	14826
1095	40114	14786
1096	40146	14748
1097	40179	14710
1098	40209	14671
1099	40237	14631
1100	40266	14592
1101	40295	14553
1102	40326	14514
1103	40358	14476
1104	40389	14437
1105	40417	14398
1106	40444	14358
1107	40473	14319
1108	40506	14281
1109	40538	14243
1110	40566	14203
1111	40595	14164
1112	40621	14124
1113	40649	14085
1114	40680	14046
1115	40711	14008
1116	40742	13969
1117	40770	13930
1118	40796	13890
1119	40824	13851
1120	40852	13811
1121	40880	13772
1122	40905	13732
1123	40933	13692
1124	40958	13652
1125	40984	13612
1126	41008	13572
1127	41034	13532
1128	41059	13492
1129	41090	13454
1130	41116	13414
1131	41147	13376
1132	41179	13338
1133	41212	13301
1134	41246	13264
1135	41275	13225
1136	41302	13186
1137	41329	13147
1138	41354	13107
1139	41380	13067
1140	41405	13027
1141	41432	12988
1142	41470	12952
1143	41511	12917
1144	41547	12881
1145	41599	12850
1146	41644	12816
1147	41700	12786
1148	41741	12751
1149	41780	12715
1150	41827	12682
1151	41860	12645
1152	41894	12608
1153	41925	12570
1154	41954	12531
1155	41980	12492
1156	42006	12453
1157	42033	12414
1158	42059	12374
1159	42085	12335
1160	42110	12295
1161	42136	12256
1162	42165	12218
1163	42192	12179
1164	42225	12142
1165	42257	12104
1166	42284	12065
1167	42310	12026
1168	42336	11987
1169	42360	11947
1170	42387	11908
1171	42412	11869
1172	42436	11830
1173	42460	11790
1174	42489	11752
1175	42517	11713
1176	42547	11676
1177	42577	11638
1178	42601	11598
1179	42626	11559
1180	42654	11521
1181	42687	11484
1182	42722	11448
1183	42757	11411
1184	42797	11376
1185	42832	11340
1186	42866	11303
1187	42904	11267
1188	42934	11230
1189	42963	11192
1190	42990	11153
1191	43017	11115
1192	43056	11079
1193	43087	11042
1194	43114	11004
1195	43140	10965
1196	43167	10927
1197	43194	10888
1198	43224	10851
1199	43258	10814
1200	43289	10777
1201	43323	10740
1202	43358	10704
1203	43395	10668
1204	43430	10632
1205	43462	10595
1206	43496	10558
1207	43532	10522
1208	43570	10487
1209	43610	10452
1210	43645	10415
1211	43677	10378
1212	43709	10341
1213	43738	10304
1214	43766	10266
1215	43799	10229
1216	43828	10191
1217	43858	10154
1218	43890	10117
1219	43921	10080
1220	43953	10043
1221	43987	10006
1222	44022	9970
1223	44054	9933
1224	44083	9896
1225	44115	9859
1226	44141	9821
1227	44167	9783
1228	44196	9745
1229	44226	9708
1230	44254	9670
1231	44282	9632
1232	44309	9595
1233	44335	9556
1234	44364	9519
1235	44393	9482
1236	44423	9444
1237	44455	9408
1238	44483	9370
1239	44512	9333
1240	44547	9297
1241	44586	9261
1242	44620	9225
1243	44655	9189
1244	44686	9152
1245	44716	9115
1246	44747	9078
1247	44777	9041
1248	44815	9006
1249	44851	8970
1250	44889	8934
1251	44934	8900
1252	44998	8870
1253	45047	8837
1254	45082	8801
1255	45157	8772
1256	45214	8740
1257	45269	8708
1258	45329	8677
1259	45374	8642
1260	45422	8609
1261	45471	8575
1262	45518	8541
1263	45559	8506
1264	45601	8471
1265	45640	8435
1266	45675	8399
1267	45712	8363
1268	45748	8327
1269	45794	8293
1270	45827	8256
1271	45868	8221
1272	45902	8185
1273	45942	8149
1274	45978	8113
1275	46012	8077
1276	46037	8039
1277	46061	8001
1278	46089	7963
1279	46123	7927
1280	46150	7889
1281	46177	7852
1282	46205	7815
1283	46233	7777
1284	46257	7739
1285	46281	7701
1286	46309	7664
1287	46338	7627
1288	46366	7589
1289	46392	7552
1290	46419	7514
1291	46446	7477
1292	46474	7440
1293	46503	7403
1294	46531	7366
1295	46557	7328
1296	46584	7291
1297	46610	7253
1298	46640	7216
1299	46673	7180
1300	46708	7144
1301	46741	7108
1302	46773	7071
1303	46801	7034
1304	46834	6998
1305	46866	6961
1306	46899	6925
1307	46934	6889
1308	46968	6853
1309	47000	6816
1310	47030	6780
1311	47059	6743
1312	47088	6706
1313	47118	6669
1314	47149	6633
1315	47184	6597
1316	47218	6561
1317	47249	6524
1318	47288	6489
1319	47321	6452
1320	47352	6416
1321	47385	6380
1322	47422	6344
1323	47461	6309
1324	47498	6273
1325	47530	6236
1326	47563	6200
1327	47599	6165
1328	47641	6129
1329	47687	6095
1330	47728	6060
1331	47761	6023
1332	47792	5987
1333	47821	5950
1334	47849	5913
1335	47881	5877
1336	47911	5841
1337	47943	5804
1338	47974	5768
1339	48007	5732
1340	48039	5695
1341	48068	5659
1342	48104	5623
1343	48142	5588
1344	48187	5553
1345	48229	5518
1346	48267	5482
1347	48308	5447
1348	48355	5412
1349	48408	5378
1350	48453	5343
